"pessoa_idade";"salario_ano";"propriedade_sit";"ano_trabalhado";"motivo_emprestimo";"pontuacao_emprestimos";"vl_total";"tx_juros";"inadimplencia";"tx_renda_divida";"hst_inadimplencia";"hst_primeiro_credito"
34;50000;"Própria";2;"Pessoal";"B";12000;0.0;"0";0.24;"0";9
23;54000;"Alugada";3;"Pagamento de débitos";"A";6250;6.99;"0";0.12;"0";3
27;42000;"Alugada";2;"Médico";"A";6550;7.88;"0";0.16;"0";8
29;84000;"Própria";11;"Educativo";"B";15000;12.18;"0";0.18;"0";10
30;43000;"Alugada";3;"Empreendimento";"A";15000;0.0;"1";0.35;"0";8
24;79200;"Alugada";3;"Educativo";"D";16000;12.67;"1";0.2;"1";2
34;64000;"Hipotecada";1;"Médico";"A";7200;7.29;"0";0.11;"0";7
29;35000;"Alugada";2;"Educativo";"A";3600;8.94;"0";0.1;"0";10
22;55000;"Alugada";0;"Pagamento de débitos";"D";15000;14.83;"1";0.27;"1";4
25;40800;"Própria";5;"Melhora do lar";"E";7000;19.03;"1";0.17;"0";4
21;47580;"Hipotecada";5;"Educativo";"A";14000;6.03;"0";0.29;"0";2
28;60000;"Alugada";2;"Pagamento de débitos";"B";3000;11.49;"0";0.05;"0";5
22;31200;"Alugada";7;"Educativo";"B";12000;10.99;"1";0.38;"0";2
23;30000;"Alugada";1;"Educativo";"D";1450;15.58;"1";0.05;"1";3
22;53000;"Alugada";5;"Educativo";"C";25000;13.43;"1";0.47;"1";4
43;50000;"Alugada";3;"Melhora do lar";"C";8000;12.84;"0";0.16;"1";17
22;29000;"Alugada";6;"Médico";"A";10000;7.29;"1";0.34;"0";3
44;83000;"Outros";2;"Pessoal";"D";12000;16.0;"1";0.14;"1";12
29;91000;"Alugada";10;"Médico";"B";16800;0.0;"0";0.18;"0";5
24;100000;"Alugada";5;"Melhora do lar";"A";0;13.85;"";0.08;"1";6
30;100000;"Alugada";13;"Pagamento de débitos";"A";12000;7.88;"0";0.12;"0";9
30;38000;"Alugada";0;"Médico";"A";12800;5.79;"1";0.34;"0";8
62;62050;"Hipotecada";29;"Médico";"C";25000;13.43;"1";0.34;"1";28
32;22704;"Alugada";4;"Pagamento de débitos";"B";6800;0.0;"0";0.3;"0";8
23;86670;"Hipotecada";4;"Pessoal";"B";20000;12.53;"0";0.23;"0";2
24;21640;"Alugada";0;"Empreendimento";"A";6000;6.62;"0";0.28;"0";4
23;115000;"Hipotecada";3;"Educativo";"B";10000;10.59;"0";0.09;"0";2
27;18600;"Alugada";4;"Médico";"B";1850;0.0;"0";0.1;"0";8
25;40000;"Alugada";1;"Pagamento de débitos";"B";6500;11.89;"0";0.16;"0";4
23;40000;"Alugada";6;"Empreendimento";"B";15000;11.71;"1";0.38;"0";4
23;57000;"Alugada";4;"Pagamento de débitos";"A";12000;8.94;"0";0.21;"0";2
